post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,58000000,2009,22.0,Số sàn,Đã sử dụng,Xăng,Hatchback,Trong nước,Huyện Mê Linh,Hà Nội,16,0
2025,205000000,2008,150000.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Huyện Đông Anh,Hà Nội,17,1
2025,152000000,2009,110000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Huyện Sóc Sơn,Hà Nội,16,0
2025,1120000000,2023,80000.0,Tự động,Đã sử dụng,Dầu,Van,Trong nước,Quận Bắc Từ Liêm,Hà Nội,2,0
2025,530000000,2020,69000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Thanh Xuân,Hà Nội,5,1
2025,455000000,2025,9000.0,Tự động,Đã sử dụng,Điện,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,0,0
2025,970000000,2017,65000.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Quận Bắc Từ Liêm,Hà Nội,8,1
2025,415000000,2022,8000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Nam Từ Liêm,Hà Nội,3,0
2025,668000000,2023,48000.0,Tự động,Đã sử dụng,Xăng,Pick-up (bán tải),Trong nước,Huyện Quốc Oai,Hà Nội,2,0
2025,880000000,2015,1234.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Quận Long Biên,Hà Nội,10,1
2025,282000000,2022,58000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Nam Từ Liêm,Hà Nội,3,0
2025,220000000,2016,12000.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Huyện Đan Phượng,Hà Nội,9,1
2025,465000000,2015,80000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,10,0
2025,335000000,2018,76000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Hà Đông,Hà Nội,7,0
2025,600000000,2018,47999.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Hà Đông,Hà Nội,7,1
2025,256000000,2019,130000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Nhập khẩu,Quận Hà Đông,Hà Nội,6,1
2025,750000000,2023,43000.0,Tự động,Đã sử dụng,Điện,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,2,0
